nohup: ignoring input
Loading files from: ../data/training_set/*/*.jpg
Starting Training:
>264, dA[0.083,0.031] dB[0.076,0.056] g[9.972,9.991] s_elaps=4341
>265, dA[0.019,0.024] dB[0.042,0.020] g[10.300,10.182] s_elaps=4357
>266, dA[0.066,0.022] dB[0.077,0.036] g[10.600,10.779] s_elaps=4373
>267, dA[0.085,0.059] dB[0.124,0.061] g[10.349,10.536] s_elaps=4389
>268, dA[0.059,0.022] dB[0.029,0.029] g[10.215,10.383] s_elaps=4405
>269, dA[0.015,0.019] dB[0.040,0.017] g[9.769,9.801] s_elaps=4422
>270, dA[0.030,0.030] dB[0.033,0.017] g[10.806,10.796] s_elaps=4438
>271, dA[0.039,0.028] dB[0.034,0.020] g[10.292,10.389] s_elaps=4454
>272, dA[0.021,0.031] dB[0.035,0.030] g[10.285,10.306] s_elaps=4470
>273, dA[0.046,0.019] dB[0.026,0.027] g[11.123,11.387] s_elaps=4486
>274, dA[0.030,0.041] dB[0.026,0.022] g[10.596,10.681] s_elaps=4503
>275, dA[0.083,0.028] dB[0.056,0.033] g[9.930,10.438] s_elaps=4519
>276, dA[0.026,0.019] dB[0.021,0.022] g[10.068,10.058] s_elaps=4535
>277, dA[0.048,0.067] dB[0.041,0.055] g[10.747,10.662] s_elaps=4552
>278, dA[0.084,0.031] dB[0.073,0.025] g[9.723,9.934] s_elaps=4568
>279, dA[0.079,0.154] dB[0.036,0.069] g[9.982,10.278] s_elaps=4584
>280, dA[0.221,0.065] dB[0.145,0.108] g[9.557,9.957] s_elaps=4600
>281, dA[0.044,0.105] dB[0.036,0.074] g[9.943,10.130] s_elaps=4616
>282, dA[0.117,0.044] dB[0.294,0.281] g[10.705,10.855] s_elaps=4632
>283, dA[0.064,0.067] dB[0.125,0.056] g[10.549,10.399] s_elaps=4649
>284, dA[0.141,0.066] dB[0.278,0.130] g[10.352,10.416] s_elaps=4665
>285, dA[0.062,0.018] dB[0.044,0.022] g[10.048,10.378] s_elaps=4681
>286, dA[0.046,0.029] dB[0.083,0.027] g[9.574,9.455] s_elaps=4697
>287, dA[0.041,0.018] dB[0.039,0.017] g[9.941,10.175] s_elaps=4713
>288, dA[0.041,0.021] dB[0.084,0.034] g[9.613,9.873] s_elaps=4729
>289, dA[0.074,0.045] dB[0.092,0.034] g[9.987,10.034] s_elaps=4745
>290, dA[0.063,0.026] dB[0.037,0.019] g[9.873,10.157] s_elaps=4762
>291, dA[0.028,0.018] dB[0.032,0.009] g[10.177,10.238] s_elaps=4778
>292, dA[0.118,0.051] dB[0.096,0.055] g[9.752,10.003] s_elaps=4794
>293, dA[0.054,0.012] dB[0.046,0.020] g[10.633,10.903] s_elaps=4811
>294, dA[0.075,0.022] dB[0.087,0.026] g[9.750,10.001] s_elaps=4827
>295, dA[0.023,0.014] dB[0.022,0.017] g[9.925,10.118] s_elaps=4843
>296, dA[0.048,0.017] dB[0.052,0.026] g[10.275,10.398] s_elaps=4859
>297, dA[0.084,0.023] dB[0.088,0.039] g[10.210,10.249] s_elaps=4875
>298, dA[0.025,0.018] dB[0.020,0.020] g[10.166,10.586] s_elaps=4892
>299, dA[0.050,0.035] dB[0.060,0.032] g[9.663,9.700] s_elaps=4908
>300, dA[0.047,0.019] dB[0.024,0.015] g[9.898,9.996] s_elaps=4924
>301, dA[0.026,0.030] dB[0.022,0.016] g[10.139,10.221] s_elaps=4941
>302, dA[0.052,0.016] dB[0.026,0.013] g[9.805,10.182] s_elaps=4957
>303, dA[0.027,0.043] dB[0.025,0.021] g[9.490,9.611] s_elaps=4973
